photo_log_row,context_id,context_source,photo_raw,photo_ids,photo_count,TU_col_D,Level_col_E
607,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1033-1034,EPAS2021 1033; EPAS2021 1034,2,SF(N.D),
608,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1035-1036,EPAS2021 1035; EPAS2021 1036,2,SF(N.D),
609,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1037-1038,EPAS2021 1037; EPAS2021 1038,2,SF(N.D),
610,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1039-1040,EPAS2021 1039; EPAS2021 1040,2,SF(N.D),
611,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1041-1042,EPAS2021 1041; EPAS2021 1042,2,SF(N.D),
612,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1043-1044,EPAS2021 1043; EPAS2021 1044,2,SF(N.D),
613,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1045-1046,EPAS2021 1045; EPAS2021 1046,2,SF(N.D),
614,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1047-1048,EPAS2021 1047; EPAS2021 1048,2,SF(N.D),
615,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1049-1050,EPAS2021 1049; EPAS2021 1050,2,SF(N.D),
616,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1051-1052,EPAS2021 1051; EPAS2021 1052,2,SF(N.D),
617,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1053-1054,EPAS2021 1053; EPAS2021 1054,2,SF(N.D),
618,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1055-1056,EPAS2021 1055; EPAS2021 1056,2,SF(N.D),
619,TUSF(N.D)-Lunknown,TU_no_level,EPAS2021-1057-1058,EPAS2021 1057; EPAS2021 1058,2,SF(N.D),
620,STP16,STP_from_TU_column,EPAS2021-1059-1060,EPAS2021 1059; EPAS2021 1060,2,STP16,
621,STP16,STP_from_TU_column,EPAS2021-1061-1062,EPAS2021 1061; EPAS2021 1062,2,STP16,
622,STP16,STP_from_TU_column,EPAS2021-1063-1064,EPAS2021 1063; EPAS2021 1064,2,STP16,
623,STP16,STP_from_TU_column,EPAS2021-1065-1066,EPAS2021 1065; EPAS2021 1066,2,STP16,
624,TUTU13-Lunknown,TU_no_level,EPAS2021-1067-1068,EPAS2021 1067; EPAS2021 1068,2,TU13,
625,TUTU13-Lunknown,TU_no_level,EPAS2021-1069-1070,EPAS2021 1069; EPAS2021 1070,2,TU13,
626,TUTU13-Lunknown,TU_no_level,EPAS2021-1071-1072,EPAS2021 1071; EPAS2021 1072,2,TU13,
627,TUCABIN 1-L3RD OAK TREE,TU_Level,EPAS2021-1073-1074,EPAS2021 1073; EPAS2021 1074,2,CABIN 1,3RD OAK TREE
628,TUCABIN 15-Lunknown,TU_no_level,EPAS2021-1075-1076,EPAS2021 1075; EPAS2021 1076,2,CABIN 15,
629,STP12,STP_from_TU_column,EPAS2021-1077-1078,EPAS2021 1077; EPAS2021 1078,2,STP 12,
630,STP12,STP_from_TU_column,EPAS2021-1079-1080,EPAS2021 1079; EPAS2021 1080,2,STP 12,
631,TU10-L2,TU_Level,EPAS2021-1081-1082,EPAS2021 1081; EPAS2021 1082,2,10,2
632,TU10-L2,TU_Level,EPAS2021-1083-1084,EPAS2021 1083; EPAS2021 1084,2,10,2
633,TU10-L2,TU_Level,EPAS2021-1085-1086,EPAS2021 1085; EPAS2021 1086,2,10,2
634,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1087-1088,EPAS2021 1087; EPAS2021 1088,2,CABIN 6,
635,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1089-1090,EPAS2021 1089; EPAS2021 1090,2,CABIN 6,
636,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1091-1092,EPAS2021 1091; EPAS2021 1092,2,CABIN 6,
637,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1093-1094,EPAS2021 1093; EPAS2021 1094,2,CABIN 6,
638,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1095-1096,EPAS2021 1095; EPAS2021 1096,2,CABIN 6,
639,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1097-1098,EPAS2021 1097; EPAS2021 1098,2,CABIN 6,
640,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1099-1100,EPAS2021 1099; EPAS2021 1100,2,CABIN 6,
641,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1101-1102,EPAS2021 1101; EPAS2021 1102,2,CABIN 6,
642,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1103-1104,EPAS2021 1103; EPAS2021 1104,2,CABIN 6,
643,TUCABIN 6-Lunknown,TU_no_level,EPAS2021-1105-1106,EPAS2021 1105; EPAS2021 1106,2,CABIN 6,
644,TUCABIN 2-5-LROW4-8,TU_Level,EPAS2021-1107-1108,EPAS2021 1107; EPAS2021 1108,2,CABIN 2-5,ROW4-8
645,TUCABIN 2-5-LROW4-8,TU_Level,EPAS2021-1109-1110,EPAS2021 1109; EPAS2021 1110,2,CABIN 2-5,ROW4-8
646,TUCABIN 2-5-LROW4-8,TU_Level,EPAS2021-1111-1112,EPAS2021 1111; EPAS2021 1112,2,CABIN 2-5,ROW4-8
